STATION;Geom;Geo Local Area
RUPERT;"{""type"": ""Point"", ""coordinates"": [-123.03282383181924, 49.26076477800688]}";Renfrew-Collingwood
JOYCE - COLLINGWOOD;"{""type"": ""Point"", ""coordinates"": [-123.03180671720274, 49.23839380547173]}";Renfrew-Collingwood
OAKRIDGE-\n41st. AVE.;"{""type"": ""Point"", ""coordinates"": [-123.1160406757537, 49.23346681088296]}";Oakridge
COMMERCIAL DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.06845389848264, 49.262936267570566]}";Grandview-Woodland
RENFREW;"{""type"": ""Point"", ""coordinates"": [-123.04530845887125, 49.258892910750575]}";Renfrew-Collingwood
29TH AVENUE;"{""type"": ""Point"", ""coordinates"": [-123.04594067417925, 49.24424259252007]}";Renfrew-Collingwood
BROADWAY;"{""type"": ""Point"", ""coordinates"": [-123.0690994029915, 49.26181784672502]}";Kensington-Cedar Cottage
LANGARA-\n49th AVE.;"{""type"": ""Point"", ""coordinates"": [-123.11632486111897, 49.22638691937381]}";Oakridge
OLYMPIC\nVILLAGE;"{""type"": ""Point"", ""coordinates"": [-123.11519667896057, 49.266340232349485]}";Fairview
YALETOWN-/nROUNDHOUSE;"{""type"": ""Point"", ""coordinates"": [-123.12189037736573, 49.27436225502764]}";Downtown
VANCOUVER\nCITY\nCENTRE;"{""type"": ""Point"", ""coordinates"": [-123.11928408860332, 49.28173470740805]}";Downtown
WATERFRONT;"{""type"": ""Point"", ""coordinates"": [-123.11333926865105, 49.28566576713621]}";Downtown
MARINE DRIVE;"{""type"": ""Point"", ""coordinates"": [-123.11707077589682, 49.20954787349326]}";Marpole
VCC - CLARK;"{""type"": ""Point"", ""coordinates"": [-123.07896225222814, 49.26578319885224]}";Strathcona
NANAIMO;"{""type"": ""Point"", ""coordinates"": [-123.0558715165948, 49.24827221040713]}";Renfrew-Collingwood
MAIN ST. - SCIENCE WORLD;"{""type"": ""Point"", ""coordinates"": [-123.1006069075194, 49.27317791205693]}";Downtown
STADIUM - CHINATOWN;"{""type"": ""Point"", ""coordinates"": [-123.1095647956557, 49.27944169207506]}";Downtown
GRANVILLE;"{""type"": ""Point"", ""coordinates"": [-123.11640402766496, 49.28363768693571]}";Downtown
BURRARD;"{""type"": ""Point"", ""coordinates"": [-123.11997233683105, 49.285860148747275]}";Downtown
WATERFRONT;"{""type"": ""Point"", ""coordinates"": [-123.11173815562668, 49.286075484521184]}";Downtown
KING EDWARD;"{""type"": ""Point"", ""coordinates"": [-123.11533610439632, 49.249122878436864]}";Riley Park
BROADWAY-\nCITY HALL;"{""type"": ""Point"", ""coordinates"": [-123.11478218171402, 49.2627734682803]}";Mount Pleasant
